Type,Handle,Block,Layer,Linetype,Linetype Scale,Lineweight,Color,Displayed Color,Draw Order,Parent Id,Style:Overall scale,Style:Linear measurement factor,Style:Text height,Style:Dimension line gap,Style:Arrow size,Style:Dimension line increment,Style:Extension line extension,Style:Extension line offset,Style:Text position vertical,Style:Text horizontal,Style:Tick size,Style:Linear format,Style:Decimal places,Style:Decimal separator,Style:Zero suppression,Style:Angular format,Style:Angular decimal places,Style:Angular zero suppression,Style:Architectur tick,Style:Text color,Style:Arrow block,Style:Arrow block 1,Style:Arrow block 2,Center:X,Center:Y,Center:Z,Middle:X,Middle:Y,Middle:Z,Radius,Reversed,Diameter,Length,Sweep Angle,Area,Referenced Block,Position:X,Position:Y,Position:Z,Scale:X,Scale:Y,Scale:Z,Angle,Columns,Rows,Column Spacing,Row Spacing,Circumference,Major Point:X,Major Point:Y,Major Point:Z,Ratio,Start Parameter,End Parameter,Start Angle,End Angle,Start Point:X,Start Point:Y,Start Point:Z,End Point:X,End Point:Y,End Point:Z,Width,Height,Middle Point:X,Middle Point:Y,Middle Point:Z,Closed Periodic,Degree,Control Point:X,Control Point:Y,Control Point:Z,Fit Point:X,Fit Point:Y,Fit Point:Z,Knot Vector:Knot,Use Start Tangent,Start Tangent:X,Start Tangent:Y,Start Tangent:Z,Use End Tangent,End Tangent:X,End Tangent:Y,End Tangent:Z,Scale,Rotation,On,View Center:X,View Center:Y,View Target:X,View Target:Y,View Target:Z,Overall,Simple,Text Position:X,Text Position:Y,Text Position:Z,Text,,Plain Text,Font Name,Text Height,Text Width,Text Angle,X Scale,Bold,Italic,Line Spacing,Alignment:Horizontal,Alignment:Vertical,Backward,Upside Down,Invisible,Tag,Prompt,Name,Origin:X,Origin:Y,Origin:Z,Off,Frozen,Locked,Collapsed,Plottable,Snappable,Off is Freeze,Tab Order,Min Limits:X,Min Limits:Y,Min Limits:Z,Max Limits:X,Max Limits:Y,Max Limits:Z,Insertion Base:X,Insertion Base:Y,Insertion Base:Z,Min Extents:X,Min Extents:Y,Min Extents:Z,Max Extents:X,Max Extents:Y,Max Extents:Z,Plot Margins:Left,Plot Margins:Bottom,Plot Margins:Right,Plot Margins:Top,Plot Paper Size:Width,Plot Paper Size:Height,Plot Origin:X,Plot Origin:Y,Plot Window Area Min:X,Plot Window Area Min:Y,Plot Window Area Max:X,Plot Window Area Max:Y,Custom Scale:Numerator,Custom Scale:Denominator,Plot Paper Units,Plot Rotation,Plot Type,Use Standard Scale,Standard Scale,Standard Scale Type,Media Name,Description,Metric,Pattern,Hidden,Pixel Unit,Layout,Center Point,Polyline Pattern,Closed,Vertex:X,Vertex:Y,Vertex:Z,Vertex:Bulge,Vertex:Angle,Vertex:Start Width,Vertex:End Width,Global Width,Orientation,Size:Base Angle,Size:Size 1,Size:Size 2,Global Z,Solid,Alpha,Pattern:Name,Pattern:From Entity,Pattern:Angle,Pattern:Scale,Label,Tolerance:Upper Limit,Tolerance:Lower Limit,Flip First Arrow,Flip Second Arrow,Fixed Extension Line,Extension Line Length,Measured Value,Block Name,Auto Label Position,Dimension Line:X,Dimension Line:Y,Dimension Line:Z,Extension Point 1:X,Extension Point 1:Y,Extension Point 1:Z,Extension Point 2:X,Extension Point 2:Y,Extension Point 2:Z,Chord Point:X,Chord Point:Y,Chord Point:Z,Far Chord Point:X,Far Chord Point:Y,Far Chord Point:Z,Dimension Angle,Id,Attributes:MyAttribute,QCAD:PageSettings/Scale
Arc,0x1108,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,74,,,,,,,,,,,,,,,,,,,,,,,,,30,-2,0,30,-3,0,1,false,2,3.14159265359,3.14159265359,1.570796326795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,153,153
Arc,0x1109,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,75,,,,,,,,,,,,,,,,,,,,,,,,,-30,0,0,-35,0,0,5,false,10,10.082600822511,2.016520164502,25.206502056276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,154,154
Arc,0x110a,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,76,,,,,,,,,,,,,,,,,,,,,,,,,-30,2,0,-30,3,0,1,false,2,3.14159265359,3.14159265359,1.570796326795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,155,155
Arc,0x110b,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,77,,,,,,,,,,,,,,,,,,,,,,,,,-30,-2,0,-30,-3,0,1,false,2,3.14159265359,3.14159265359,1.570796326795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,156,156
Line,0x110c,*Model_Space,center,By Layer,1,By Layer,By Layer,#ff0000,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,4.712388980385,,,,,,,,,,,,,,-30,5,0,-30,-5,0,,,-30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,157,157
Line,0x110d,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1.570796326795,,,,,,,,,,,,,,-31,-2,0,-31,2,0,,,-31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,158,158
Line,0x110e,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.377155080899,,,,,,,,,,0.562536244544,,,,,,,,,,,,,,-32.666666666667,4.229525846817,0,-11.2,17.764008556629,0,,,-21.933333333333,10.996767201723,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,159,159
Line,0x110f,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1.570796326795,,,,,,,,,,,,,,-29,-2,0,-29,2,0,,,-29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,160,160
Line,0x1110,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.377155080899,,,,,,,,,,5.720649062636,,,,,,,,,,,,,,-32.666666666667,-4.229525846817,0,-11.2,-17.764008556629,0,,,-21.933333333333,-10.996767201723,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,161,161
Line,0x1111,*Model_Space,boundary,By Layer,1,By Layer,By Layer,#ff00ff,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.414213562373,,,,,,,,,,0.785398163398,,,,,,,,,,,,,,84,14,0,85,15,0,,,84.5,14.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,162,162
Line,0x1112,*Model_Space,boundary,By Layer,1,By Layer,By Layer,#ff00ff,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,1.570796326795,,,,,,,,,,,,,,85,15,0,85,16.5,0,,,85,15.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,163,163
Line,0x1113,*Model_Space,boundary,By Layer,1,By Layer,By Layer,#ff00ff,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.414213562373,,,,,,,,,,2.356194490192,,,,,,,,,,,,,,85,20,0,84,21,0,,,84.5,20.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,164,164
Line,0x1114,*Model_Space,boundary,By Layer,1,By Layer,By Layer,#ff00ff,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,3.14159265359,,,,,,,,,,,,,,84,21,0,60,21,0,,,72,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,165,165
Line,0x1115,*Model_Space,boundary,By Layer,1,By Layer,By Layer,#ff00ff,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,4.712388980385,,,,,,,,,,,,,,60,21,0,60,14,0,,,60,17.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,166,166
Line,0x1116,*Model_Space,boundary,By Layer,1,By Layer,By Layer,#ff00ff,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,0,,,,,,,,,,,,,,60,14,0,84,14,0,,,72,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,167,167
Line,0x1117,*Model_Space,boundary,By Layer,1,By Layer,By Layer,#ff00ff,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,1.570796326795,,,,,,,,,,,,,,85,18.5,0,85,20,0,,,85,19.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,168,168
Line,0x1118,*Model_Space,boundary,By Layer,1,By Layer,By Layer,#ff00ff,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,3.14159265359,,,,,,,,,,,,,,85,18.5,0,75,18.5,0,,,80,18.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,169,169
Line,0x1119,*Model_Space,boundary,By Layer,1,By Layer,By Layer,#ff00ff,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2360679775,,,,,,,,,,4.084070449667,,,,,,,,,,,,,,75,18.5,0,74.273457471995,17.5,0,,,74.636728735997,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,170,170
Line,0x111a,*Model_Space,boundary,By Layer,1,By Layer,By Layer,#ff00ff,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2360679775,,,,,,,,,,5.340707511103,,,,,,,,,,,,,,74.273457471995,17.5,0,75,16.5,0,,,74.636728735997,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,171,171
Circle,0x111b,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,93,,,,,,,,,,,,,,,,,,,,,,,,,0,-97.5,0,,,,1,,2,,,3.14159265359,,,,,,,,,,,,,6.28318530718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,172,172
Circle,0x111c,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,94,,,,,,,,,,,,,,,,,,,,,,,,,12.374368670765,-92.374368670765,0,,,,1,,2,,,3.14159265359,,,,,,,,,,,,,6.28318530718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,173,173
Line,0x111d,*Model_Space,center,By Layer,1,By Layer,By Layer,#ff0000,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,4.712388980385,,,,,,,,,,,,,,30,-80,0,30,-85,0,,,30,-82.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,174,174
Line,0x111e,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1.570796326795,,,,,,,,,,,,,,31,-82,0,31,-80,0,,,31,-81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,175,175
Line,0x111f,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1.570796326795,,,,,,,,,,,,,,29,-82,0,29,-80,0,,,29,-81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,176,176
Arc,0x1120,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,98,,,,,,,,,,,,,,,,,,,,,,,,,30,-82,0,30,-83,0,1,false,2,3.14159265359,3.14159265359,1.570796326795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,177,177
Arc,0x1121,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,99,,,,,,,,,,,,,,,,,,,,,,,,,-30,-80,0,-35,-80,0,5,false,10,10.082600822511,2.016520164502,25.206502056276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,178,178
Arc,0x1122,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,100,,,,,,,,,,,,,,,,,,,,,,,,,-30,-78,0,-30,-77,0,1,false,2,3.14159265359,3.14159265359,1.570796326795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,179,179
Arc,0x1123,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,101,,,,,,,,,,,,,,,,,,,,,,,,,-30,-82,0,-30,-83,0,1,false,2,3.14159265359,3.14159265359,1.570796326795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,180,180
Line,0x1124,*Model_Space,center,By Layer,1,By Layer,By Layer,#ff0000,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,4.712388980385,,,,,,,,,,,,,,-30,-75,0,-30,-85,0,,,-30,-80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,181,181
Line,0x1125,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1.570796326795,,,,,,,,,,,,,,-31,-82,0,-31,-78,0,,,-31,-80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,182,182
Line,0x1126,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.377155080899,,,,,,,,,,0.562536244544,,,,,,,,,,,,,,-32.666666666667,-75.770474153184,0,-11.2,-62.235991443371,0,,,-21.933333333333,-69.003232798277,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,183,183
Line,0x1127,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1.570796326795,,,,,,,,,,,,,,-29,-82,0,-29,-78,0,,,-29,-80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,184,184
Line,0x1128,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.377155080899,,,,,,,,,,5.720649062636,,,,,,,,,,,,,,-32.666666666667,-84.229525846817,0,-11.2,-97.764008556629,0,,,-21.933333333333,-90.996767201723,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,185,185
Arc,0x1129,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,107,,,,,,,,,,,,,,,,,,,,,,,,,17.5,-80,0,17.5,-81,0,1,false,2,3.14159265359,3.14159265359,1.570796326795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,186,186
Arc,0x112a,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,108,,,,,,,,,,,,,,,,,,,,,,,,,0,-80,0,-14.849242404918,-94.849242404918,0,21,false,42,98.960168588079,4.712388980385,1039.081770174824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,187,187
Arc,0x112b,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,109,,,,,,,,,,,,,,,,,,,,,,,,,0,-80,0,-14.142135623731,-94.142135623731,0,20,false,40,94.247779607694,4.712388980385,942.477796076938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,188,188
Arc,0x112c,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,110,,,,,,,,,,,,,,,,,,,,,,,,,0,-80,0,-10.606601717798,-90.606601717798,0,15,false,30,70.68583470577,4.712388980385,530.143760293278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,189,189
Arc,0x112d,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,111,,,,,,,,,,,,,,,,,,,,,,,,,0,-80,0,-9.899494936612,-89.899494936612,0,14,false,28,65.973445725386,4.712388980385,461.8141200777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,190,190
Arc,0x112e,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,112,,,,,,,,,,,,,,,,,,,,,,,,,0,-62.5,0,-1,-62.5,0,1,false,2,3.14159265359,3.14159265359,1.570796326795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,191,191
Arc,0x112f,*Model_Space,center,By Layer,1,By Layer,By Layer,#ff0000,113,,,,,,,,,,,,,,,,,,,,,,,,,0,-80,0,-12.374368670765,-92.374368670765,0,17.5,false,35,82.466807156732,4.712388980385,721.584562621406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,192,192
Line,0x1130,*Model_Space,center,By Layer,1,By Layer,By Layer,#ff0000,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,0,,,,,,,,,,,,,,-37,-80,0,37,-80,0,,,0,-80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,193,193
